epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,422.084,1.5889,0.68932,0.91793,0.58779,0.5,0.50904,0.16946,2.9687,1.34252,1.35602,0.00153002,0.00153002,0.00153002
168,424.642,1.62931,0.69322,0.92013,0.52906,0.5,0.48372,0.17291,2.92531,1.24609,1.32942,0.0015292,0.0015292,0.0015292
169,427.156,1.62566,0.70826,0.89424,0.5936,0.45833,0.44779,0.14008,3.06305,1.26475,1.4434,0.00152837,0.00152837,0.00152837
170,429.738,1.53451,0.69049,0.89575,0.64967,0.54092,0.53073,0.16216,2.93388,1.21375,1.3875,0.00152755,0.00152755,0.00152755
171,432.271,1.53546,0.70862,0.9165,0.55274,0.58333,0.50424,0.14054,2.99036,1.33354,1.32197,0.00152672,0.00152672,0.00152672
172,434.844,1.58399,0.70905,0.88646,0.6047,0.57397,0.4402,0.1224,2.90859,1.29619,1.37722,0.0015259,0.0015259,0.0015259
173,437.407,1.55297,0.69943,0.89346,0.61194,0.54167,0.44648,0.15022,2.99604,1.23192,1.44364,0.00152507,0.00152507,0.00152507
174,439.887,1.55691,0.70162,0.91207,0.61561,0.54167,0.42344,0.12076,3.06366,1.23731,1.46597,0.00152425,0.00152425,0.00152425
175,442.411,1.67625,0.77977,0.91759,0.66044,0.58333,0.5813,0.16046,2.98632,1.22153,1.47198,0.00152342,0.00152342,0.00152342
176,444.949,1.6983,0.71381,0.90188,0.57453,0.625,0.48287,0.14495,2.96449,1.15125,1.43119,0.0015226,0.0015226,0.0015226
177,447.353,1.55625,0.71117,0.89372,0.5474,0.58333,0.42403,0.1227,3.07852,1.2981,1.45373,0.00152177,0.00152177,0.00152177
178,450.009,1.60218,0.7023,0.92286,0.60159,0.66667,0.52417,0.1101,2.96606,1.34679,1.34902,0.00152095,0.00152095,0.00152095
179,452.673,1.44337,0.66197,0.82257,0.4939,0.5,0.40022,0.1196,3.02501,1.40762,1.39541,0.00152012,0.00152012,0.00152012
180,455.214,1.61101,0.70943,0.9084,0.48136,0.29167,0.23022,0.06575,3.30799,1.44427,1.57182,0.0015193,0.0015193,0.0015193
